total_return,sharpe,sortino,calmar,max_drawdown,var_99,cvar_99,worst_bar,n_bars,symbol,year,month,config,n_trades
-0.190068052489632,-4.057034804966789,-3.9357207335583757,-3.3766736764845864,-0.2714013249297521,0.0024805739447840472,0.0035652449368031797,0.013537791223873908,44639,BTCUSDT,2024,2024-03,baseline,659
-0.18725251423633815,-5.124116919097779,-4.712423428445584,-3.7467666909399084,-0.24366301244551072,0.0020440107334754026,0.0029064393044425695,0.013397846466139285,44639,BTCUSDT,2024,2024-03,adaptive,597
-0.24395288499041767,-6.046469259905898,-5.004290512120554,-3.6515354938415236,-0.2636831265174195,0.0022320615146007574,0.003593094775923942,0.030358119523757665,44639,BTCUSDT,2024,2024-08,baseline,653
-0.19536405779709454,-6.280804832572907,-5.103345078026605,-4.106762758985892,-0.22466496064877672,0.0017320803942440575,0.0027425759491296804,0.024184401273381194,44639,BTCUSDT,2024,2024-08,adaptive,581
-0.17937642905500517,-6.996392044428047,-5.825365164813517,-4.841943498759854,-0.18638804252380256,0.001400979212533677,0.0022093366564986134,0.021839150862890587,44639,BTCUSDT,2026,2026-01,baseline,646
-0.09887037860257364,-5.448812004123937,-4.550870654125389,-5.439336870199654,-0.12988262330514966,0.000988871041613279,0.0015182364411326864,0.007585967088788803,44639,BTCUSDT,2026,2026-01,adaptive,569
-0.15457764993184808,-6.53744152868386,-5.9995461633711535,-4.856637982881008,-0.17921218992935198,0.0013604029113809797,0.0020643961435062473,0.008078987689616568,43199,BTCUSDT,2026,2026-04,baseline,649
-0.09329196744886337,-4.794487298341447,-4.1685359370351165,-5.310108811426219,-0.13111882351475254,0.0010603683726426992,0.0016608470813295488,0.008278987689616569,43199,BTCUSDT,2026,2026-04,adaptive,594
-0.304725386501699,-6.736376245618232,-6.3576649732685215,-2.872803936171089,-0.3432706009182336,0.0026924528720218173,0.003908552507531258,0.014749660075484639,44639,ETHUSDT,2024,2024-03,baseline,648
-0.29572152697477816,-8.44832419302539,-7.593487374370967,-2.900661581198784,-0.3391927615650343,0.0021636371912408577,0.0030775617766897858,0.010033844619350418,44639,ETHUSDT,2024,2024-03,adaptive,582
-0.10409527237721972,-1.654138124761591,-1.2957330411637196,-3.2900810822477315,-0.22063287954451452,0.0026442187766475556,0.004568801128296135,0.04583908242095849,44639,ETHUSDT,2024,2024-08,baseline,663
-0.03612649660522671,-0.6258171873246565,-0.509788997198727,-2.1763182899034077,-0.16155611334716594,0.00205707660497218,0.0034338567879054886,0.02223267949283514,44639,ETHUSDT,2024,2024-08,adaptive,597
-0.23773501392615948,-5.883082104445864,-4.675065736176185,-3.2568850609000215,-0.2944798290918754,0.002056465397568201,0.003507423530678921,0.04304584346161011,44639,ETHUSDT,2026,2026-01,baseline,656
-0.15191067585060924,-5.66694057506525,-4.255879905188167,-4.9077390395228715,-0.17448075264432197,0.0014248875458891047,0.00239531684478625,0.01911449427223346,44639,ETHUSDT,2026,2026-01,adaptive,592
-0.20243750385562576,-6.857645774281104,-6.044086395313978,-3.8916521484201683,-0.24056787654548353,0.0017583977760279083,0.0027836814859197477,0.0097381578025173,43199,ETHUSDT,2026,2026-04,baseline,641
-0.10248783456961019,-4.035333687969485,-3.34041413391923,-4.754307525509843,-0.15389946982712618,0.0014038109551683317,0.0022513062709229275,0.0097381578025173,43199,ETHUSDT,2026,2026-04,adaptive,595
-0.28186847064137144,-2.1673965411355494,-2.0216212075220685,-2.5166103421712167,-0.3893049133796893,0.0057897268757141325,0.008799602760543713,0.04793916401008282,44639,DOGEUSDT,2024,2024-03,baseline,657
-0.3772212768549087,-4.741138436828785,-4.244568288763518,-2.194012562136379,-0.45405946000890846,0.004630271578973748,0.006757041071704695,0.03461840987852851,44639,DOGEUSDT,2024,2024-03,adaptive,596
-0.10355967836712243,-1.3940701065580072,-1.1517187943799305,-3.401313602319727,-0.21284848012874386,0.00307017097340697,0.004899135189292497,0.044656630800039586,44639,DOGEUSDT,2024,2024-08,baseline,684
-0.026959399213425717,-0.310040884348701,-0.26368858689532915,-1.8654241234996225,-0.14749963409249553,0.0023948343382306963,0.0037273997089651506,0.016996200545134975,44639,DOGEUSDT,2024,2024-08,adaptive,612
-0.2719025508815114,-5.6678509075735075,-4.171508207590463,-3.5388935285829315,-0.27583685314460493,0.0024688773137706913,0.004316605484605107,0.048010937680049735,44639,DOGEUSDT,2026,2026-01,baseline,660
-0.2270002752700283,-6.3758622293037925,-4.497920464920509,-4.117031611149401,-0.23117720868746844,0.001805295972796816,0.003234466281374892,0.02843663859777836,44639,DOGEUSDT,2026,2026-01,adaptive,601
-0.18564503343370786,-5.259768421938652,-4.555206524967048,-3.8491625384175623,-0.23844129575254389,0.0019174118709803687,0.0030242879081840207,0.027453956456346518,43199,DOGEUSDT,2026,2026-04,baseline,640
-0.10356886964686607,-3.6925434489387174,-3.1572458426213346,-4.332144092864034,-0.1697984099681767,0.0015079881067212495,0.00237668930780428,0.008741860228968612,43199,DOGEUSDT,2026,2026-04,adaptive,589
