cfg,year,total,sharpe,mdd,cvar,trades
baseline,2024,-0.2047,-3.6759,-0.2835,0.0049,660.7
var_only,2024,-0.1864,-4.2550,-0.2618,0.0038,594.2
garch_evt,2024,-0.1295,-3.4415,-0.2052,0.0032,470.7
baseline,2026,-0.2053,-6.2004,-0.2358,0.0030,648.7
var_only,2026,-0.1295,-5.0023,-0.1651,0.0022,590.0
garch_evt,2026,-0.0878,-3.9907,-0.1211,0.0019,488.2
