cfg,year,total,sharpe,mdd,cvar,trades
default,2024,-0.2047,-3.676,-0.2835,0.00489,660.7
default,2026,-0.2053,-6.200,-0.2358,0.00298,648.7
optimized,2024,-0.0322,-0.461,-0.1625,0.00384,170.7
optimized,2026,-0.0746,-2.410,-0.1483,0.00246,165.0
optimized+adaptive,2024,-0.1075,-2.078,-0.1940,0.00359,319.3
optimized+adaptive,2026,-0.0845,-3.079,-0.1366,0.00214,304.5
