config,n,total,hit,avg,mdd,cvar5
baseline (все сделки),3755,-0.7393,0.6405,-0.000346,-0.7547,0.01592
ML-фильтр (порог=0.69),849,-0.2417,0.6549,-0.000308,-0.3159,0.01919
