year,config,sharpe,sortino,max_drawdown,cvar_99,total_return,n_trades
2024,adaptive,-4.25504040886637,-3.737883625616788,-0.26177265701798197,0.003774145766472895,-0.18644087861362868,594.1666666666666
2024,baseline,-3.675914180491011,-3.2944582103355287,-0.28352355423639214,0.004889071883065121,-0.20471162422791037,660.6666666666666
2026,adaptive,-5.0023298739571045,-3.9951444896349577,-0.16505954799116593,0.002239477037891764,-0.1295216668980918,590.0
2026,baseline,-6.200363463558506,-5.211796365372058,-0.2358210144979437,0.002984288534898776,-0.20527903018064295,648.6666666666666
